subject,stage,n_spectra,r2_fixed,r2_knee,delta_R2,npeaks_fixed,npeaks_knee,delta_npeaks,ap_exp_fixed,ap_exp_knee
34,S1,760,0.978901,0.962305,-0.016596,3.646053,3.175000,0.471053,1.508510,3.730125
34,S2,760,0.985682,0.978090,-0.007592,3.518421,2.680263,0.838158,1.894932,2.644842
34,S3,760,0.991410,0.989200,-0.002210,3.414474,2.760526,0.653947,2.190412,2.442214
34,S4,760,0.993734,0.988806,-0.004929,3.217105,2.376316,0.840789,2.367294,2.460146
34,REM,760,0.979398,0.975494,-0.003904,3.509211,3.353947,0.155263,1.590254,2.643848
35,S1,760,0.988196,0.985852,-0.002344,3.714474,3.367105,0.347368,1.840184,2.403849
35,S2,760,0.991254,0.989963,-0.001292,3.064474,2.578947,0.485526,2.219272,2.682849
35,S3,760,0.993641,0.993360,-0.000281,2.701316,2.469737,0.231579,2.597269,2.971071
35,S4,760,0.994570,0.993521,-0.001049,3.036842,2.918421,0.118421,2.773523,3.049268
35,REM,760,0.987767,0.987036,-0.000731,3.894737,3.926316,-0.031579,1.785870,2.489862
36,S1,38,0.971246,0.972212,0.000966,3.394737,2.947368,0.447368,2.020375,2.227558
36,S2,760,0.991170,0.991182,0.000012,3.036842,2.739474,0.297368,2.355508,2.703247
36,S3,760,0.991133,0.990745,-0.000387,3.044737,2.671053,0.373684,2.574983,2.856453
36,S4,760,0.992913,0.992448,-0.000466,2.925000,2.898684,0.026316,2.931499,3.184838
36,REM,760,0.987468,0.991505,0.004037,3.102632,4.211842,-1.109211,1.976687,2.349415
37,S1,760,0.983218,0.979809,-0.003409,4.010526,3.413158,0.597368,1.727898,2.275835
37,S2,760,0.988980,0.988009,-0.000971,3.261842,2.523684,0.738158,2.203351,2.641736
37,S3,760,0.991118,0.989770,-0.001348,3.032895,2.573684,0.459211,2.393387,2.805681
37,S4,760,0.992452,0.991156,-0.001296,2.947368,2.771053,0.176316,2.632293,2.971166
37,REM,760,0.988380,0.988228,-0.000152,4.177632,3.856579,0.321053,1.818427,2.257755
38,S1,513,0.977161,0.973152,-0.004009,4.313840,3.935673,0.378168,1.612146,2.022405
38,S2,760,0.982197,0.982127,-0.000070,3.273684,2.478947,0.794737,2.157481,2.536270
38,S3,760,0.991929,0.991516,-0.000413,2.888158,2.344737,0.543421,2.364730,2.778770
38,S4,760,0.993383,0.993243,-0.000141,2.813158,2.880263,-0.067105,2.704741,3.034362
38,REM,760,0.987993,0.986972,-0.001021,3.998684,3.731579,0.267105,1.746741,2.161139
