56 fichiers charges, 1540 paires a comparer


--- Paires MEME SUJET (ordre croissant d'accord) ---

Fichier A              | Fichier B              |   ep A |   ep B |   Accord |  N valid
hyp_jbe_s4             | hyp_per_s37            |    721 |    774 |    28.8% |      597
hyp_per_s2             | hyp_per_s4             |    818 |    721 |    28.8% |      629
hyp_jbe_s18            | hyp_per_s3             |    859 |    944 |    28.8% |      702
hyp_per_s10            | hyp_per_s9             |    852 |    993 |    28.7% |      748
hyp_jbe_s11            | hyp_per_s5             |   1055 |   1080 |    28.7% |      818
hyp_jbe_s33            | hyp_per_s36            |    935 |    950 |    28.7% |      766
hyp_per_s10            | hyp_per_s23            |    852 |    949 |    28.7% |      766
hyp_jbe_s33            | hyp_per_s5             |    935 |   1080 |    28.7% |      763
hyp_per_s28            | hyp_per_s37            |    892 |    774 |    28.7% |      655
hyp_per_s15            | hyp_per_s25            |    879 |   1072 |    28.7% |      718
hyp_jbe_s14            | hyp_per_s22            |    811 |    850 |    28.7% |      701
hyp_per_s38            | hyp_per_s7             |   1061 |    896 |    28.7% |      701
hyp_jbe_s29            | hyp_per_s34            |    999 |   1003 |    28.7% |      844
hyp_jbe_s23            | hyp_per_s35            |    949 |    994 |    28.7% |      736
hyp_jbe_s14            | hyp_per_s37            |    811 |    774 |    28.7% |      642
hyp_jbe_s18            | hyp_jbe_s2             |    859 |    818 |    28.7% |      649
hyp_jbe_s11            | hyp_jbe_s32            |   1055 |    984 |    28.6% |      622
hyp_jbe_s14            | hyp_per_s15            |    811 |    879 |    28.6% |      689
hyp_per_s33            | hyp_per_s36            |    935 |    950 |    28.6% |      801
hyp_jbe_s2             | hyp_per_s20            |    818 |    910 |    28.6% |      693
hyp_per_s17            | hyp_per_s23            |    926 |    949 |    28.6% |      805
hyp_jbe_s37            | hyp_per_s21            |    774 |    905 |    28.5% |      599
hyp_jbe_s18            | hyp_per_s9             |    859 |    993 |    28.5% |      694
hyp_per_s33            | hyp_per_s35            |    935 |    994 |    28.5% |      796
hyp_jbe_s1             | hyp_per_s15            |    947 |    879 |    28.5% |      481
hyp_jbe_s25            | hyp_per_s23            |   1072 |    949 |    28.5% |      724
hyp_per_s18            | hyp_per_s19            |    859 |    999 |    28.5% |      724
hyp_per_s18            | hyp_per_s29            |    859 |    999 |    28.5% |      724
hyp_per_s26            | hyp_per_s33            |    944 |    935 |    28.5% |      833
hyp_per_s1             | hyp_per_s7             |    947 |    896 |    28.4% |      703
hyp_per_s2             | hyp_per_s20            |    818 |    910 |    28.4% |      725
hyp_jbe_s18            | hyp_per_s17            |    859 |    926 |    28.4% |      697
hyp_jbe_s25            | hyp_per_s4             |   1072 |    721 |    28.4% |      560
hyp_jbe_s10            | hyp_per_s4             |    852 |    721 |    28.4% |      624
hyp_jbe_s11            | hyp_per_s22            |   1055 |    850 |    28.4% |      684
hyp_jbe_s18            | hyp_per_s30            |    859 |    938 |    28.4% |      730
hyp_jbe_s4             | hyp_per_s32            |    721 |    984 |    28.3% |      561
hyp_jbe_s11            | hyp_per_s34            |   1055 |   1003 |    28.3% |      777
hyp_jbe_s35            | hyp_per_s4             |    994 |    721 |    28.3% |      537
hyp_jbe_s2             | hyp_jbe_s35            |    818 |    994 |    28.3% |      583
hyp_per_s23            | hyp_per_s35            |    949 |    994 |    28.3% |      795
hyp_jbe_s33            | hyp_per_s12            |    935 |    948 |    28.3% |      778
hyp_per_s30            | hyp_per_s37            |    938 |    774 |    28.3% |      683
hyp_per_s32            | hyp_per_s4             |    984 |    721 |    28.2% |      577
hyp_per_s18            | hyp_per_s9             |    859 |    993 |    28.2% |      723
hyp_jbe_s32            | hyp_per_s4             |    984 |    721 |    28.2% |      500
hyp_per_s24            | hyp_per_s26            |   1340 |    944 |    28.2% |      781
hyp_jbe_s37            | hyp_per_s25            |    774 |   1072 |    28.1% |      533
hyp_jbe_s2             | hyp_per_s26            |    818 |    944 |    28.1% |      704
hyp_jbe_s1             | hyp_jbe_s14            |    947 |    811 |    28.1% |      441
hyp_jbe_s14            | hyp_jbe_s32            |    811 |    984 |    28.1% |      562
hyp_per_s16            | hyp_per_s20            |    881 |    910 |    28.1% |      762
hyp_per_s27            | hyp_per_s7             |   1097 |    896 |    28.1% |      652
hyp_jbe_s6             | hyp_per_s20            |    814 |    910 |    28.1% |      695
hyp_jbe_s1             | hyp_per_s35            |    947 |    994 |    28.0% |      485
hyp_jbe_s35            | hyp_per_s6             |    994 |    814 |    28.0% |      610
hyp_jbe_s11            | hyp_per_s36            |   1055 |    950 |    28.0% |      728
hyp_jbe_s35            | hyp_per_s28            |    994 |    892 |    28.0% |      657
hyp_per_s18            | hyp_per_s37            |    859 |    774 |    28.0% |      643
hyp_jbe_s35            | hyp_per_s25            |    994 |   1072 |    28.0% |      672
hyp_jbe_s25            | hyp_per_s21            |   1072 |    905 |    28.0% |      726
hyp_per_s25            | hyp_per_s37            |   1072 |    774 |    27.9% |      619
hyp_per_s21            | hyp_per_s35            |    905 |    994 |    27.9% |      798
hyp_jbe_s25            | hyp_jbe_s35            |   1072 |    994 |    27.9% |      655
hyp_jbe_s33            | hyp_per_s7             |    935 |    896 |    27.9% |      752
hyp_jbe_s6             | hyp_per_s7             |    814 |    896 |    27.9% |      702
hyp_jbe_s14            | hyp_per_s30            |    811 |    938 |    27.9% |      706
hyp_per_s17            | hyp_per_s21            |    926 |    905 |    27.9% |      810
hyp_jbe_s14            | hyp_per_s12            |    811 |    948 |    27.9% |      681
hyp_jbe_s10            | hyp_jbe_s4             |    852 |    721 |    27.9% |      606
hyp_jbe_s23            | hyp_per_s5             |    949 |   1080 |    27.8% |      740
hyp_jbe_s11            | hyp_per_s15            |   1055 |    879 |    27.8% |      697
hyp_per_s16            | hyp_per_s4             |    881 |    721 |    27.8% |      615
hyp_jbe_s18            | hyp_per_s11            |    859 |   1055 |    27.8% |      687
hyp_per_s3             | hyp_per_s8             |    944 |    882 |    27.8% |      777
hyp_jbe_s10            | hyp_per_s20            |    852 |    910 |    27.8% |      752
hyp_jbe_s25            | hyp_per_s6             |   1072 |    814 |    27.8% |      648
hyp_per_s1             | hyp_per_s30            |    947 |    938 |    27.8% |      749
hyp_jbe_s33            | hyp_per_s14            |    935 |    811 |    27.8% |      645
hyp_jbe_s1             | hyp_per_s20            |    947 |    910 |    27.7% |      487
hyp_per_s16            | hyp_per_s35            |    881 |    994 |    27.7% |      740
hyp_jbe_s14            | hyp_jbe_s25            |    811 |   1072 |    27.7% |      614
hyp_per_s12            | hyp_per_s33            |    948 |    935 |    27.7% |      810
hyp_jbe_s1             | hyp_jbe_s35            |    947 |    994 |    27.6% |      424
hyp_jbe_s11            | hyp_per_s6             |   1055 |    814 |    27.6% |      656
hyp_per_s20            | hyp_per_s27            |    910 |   1097 |    27.6% |      649
hyp_per_s11            | hyp_per_s14            |   1055 |    811 |    27.6% |      660
hyp_jbe_s35            | hyp_jbe_s6             |    994 |    814 |    27.5% |      592
hyp_per_s2             | hyp_per_s5             |    818 |   1080 |    27.5% |      712
hyp_per_s3             | hyp_per_s31            |    944 |   1127 |    27.5% |      814
hyp_per_s33            | hyp_per_s5             |    935 |   1080 |    27.5% |      800
hyp_jbe_s33            | hyp_per_s28            |    935 |    892 |    27.5% |      735
hyp_per_s28            | hyp_per_s33            |    892 |    935 |    27.5% |      768
hyp_per_s6             | hyp_per_s7             |    814 |    896 |    27.5% |      728
hyp_per_s21            | hyp_per_s36            |    905 |    950 |    27.5% |      801
hyp_per_s12            | hyp_per_s16            |    948 |    881 |    27.5% |      754
hyp_per_s7             | hyp_per_s9             |    896 |    993 |    27.4% |      787
hyp_per_s16            | hyp_per_s26            |    881 |    944 |    27.4% |      780
hyp_jbe_s10            | hyp_per_s16            |    852 |    881 |    27.4% |      755
hyp_jbe_s18            | hyp_per_s19            |    859 |    999 |    27.4% |      697
hyp_jbe_s18            | hyp_per_s29            |    859 |    999 |    27.4% |      697
hyp_jbe_s4             | hyp_per_s20            |    721 |    910 |    27.4% |      606
hyp_jbe_s37            | hyp_per_s9             |    774 |    993 |    27.4% |      577
hyp_per_s2             | hyp_per_s38            |    818 |   1061 |    27.4% |      643
hyp_jbe_s25            | hyp_jbe_s4             |   1072 |    721 |    27.4% |      552
hyp_per_s14            | hyp_per_s33            |    811 |    935 |    27.3% |      674
hyp_per_s15            | hyp_per_s9             |    879 |    993 |    27.3% |      763
hyp_per_s12            | hyp_per_s23            |    948 |    949 |    27.2% |      804
hyp_per_s32            | hyp_per_s6             |    984 |    814 |    27.2% |      683
hyp_per_s31            | hyp_per_s35            |   1127 |    994 |    27.2% |      819
hyp_per_s11            | hyp_per_s36            |   1055 |    950 |    27.2% |      780
hyp_per_s1             | hyp_per_s14            |    947 |    811 |    27.2% |      604
hyp_per_s16            | hyp_per_s34            |    881 |   1003 |    27.2% |      755
hyp_jbe_s26            | hyp_per_s8             |    944 |    882 |    27.1% |      730
hyp_per_s21            | hyp_per_s26            |    905 |    944 |    27.1% |      837
hyp_per_s25            | hyp_per_s8             |   1072 |    882 |    27.1% |      723
hyp_jbe_s6             | hyp_per_s31            |    814 |   1127 |    27.0% |      684
hyp_per_s27            | hyp_per_s33            |   1097 |    935 |    27.0% |      640
hyp_jbe_s4             | hyp_per_s6             |    721 |    814 |    27.0% |      607
hyp_jbe_s14            | hyp_per_s3             |    811 |    944 |    27.0% |      678
hyp_per_s4             | hyp_per_s6             |    721 |    814 |    27.0% |      623
hyp_jbe_s2             | hyp_jbe_s26            |    818 |    944 |    26.9% |      642
hyp_jbe_s1             | hyp_jbe_s10            |    947 |    852 |    26.9% |      487
hyp_jbe_s26            | hyp_per_s17            |    944 |    926 |    26.9% |      755
hyp_per_s23            | hyp_per_s25            |    949 |   1072 |    26.9% |      752
hyp_jbe_s16            | hyp_per_s14            |    881 |    811 |    26.9% |      648
hyp_jbe_s6             | hyp_per_s25            |    814 |   1072 |    26.8% |      637
hyp_jbe_s25            | hyp_per_s19            |   1072 |    999 |    26.8% |      775
hyp_jbe_s25            | hyp_per_s29            |   1072 |    999 |    26.8% |      775
hyp_per_s10            | hyp_per_s20            |    852 |    910 |    26.8% |      749
hyp_jbe_s16            | hyp_per_s7             |    881 |    896 |    26.8% |      731
hyp_jbe_s4             | hyp_per_s16            |    721 |    881 |    26.8% |      601
hyp_jbe_s33            | hyp_per_s1             |    935 |    947 |    26.8% |      702
hyp_per_s13            | hyp_per_s32            |    922 |    984 |    26.8% |      736
hyp_jbe_s6             | hyp_per_s10            |    814 |    852 |    26.8% |      695
hyp_per_s28            | hyp_per_s31            |    892 |   1127 |    26.8% |      766
hyp_jbe_s32            | hyp_per_s38            |    984 |   1061 |    26.7% |      632
hyp_jbe_s14            | hyp_per_s32            |    811 |    984 |    26.7% |      651
hyp_per_s1             | hyp_per_s38            |    947 |   1061 |    26.7% |      659
hyp_per_s11            | hyp_per_s22            |   1055 |    850 |    26.7% |      727
hyp_per_s11            | hyp_per_s30            |   1055 |    938 |    26.7% |      817
hyp_per_s24            | hyp_per_s32            |   1340 |    984 |    26.7% |      761
hyp_jbe_s1             | hyp_jbe_s26            |    947 |    944 |    26.7% |      465
hyp_jbe_s25            | hyp_per_s8             |   1072 |    882 |    26.6% |      698
hyp_jbe_s14            | hyp_per_s21            |    811 |    905 |    26.6% |      706
hyp_jbe_s33            | hyp_per_s17            |    935 |    926 |    26.6% |      770
hyp_jbe_s2             | hyp_per_s4             |    818 |    721 |    26.6% |      605
hyp_per_s11            | hyp_per_s6             |   1055 |    814 |    26.6% |      696
hyp_per_s1             | hyp_per_s33            |    947 |    935 |    26.6% |      730
hyp_jbe_s26            | hyp_per_s16            |    944 |    881 |    26.5% |      712
hyp_jbe_s11            | hyp_jbe_s23            |   1055 |    949 |    26.5% |      686
hyp_per_s12            | hyp_per_s3             |    948 |    944 |    26.5% |      818
hyp_jbe_s6             | hyp_per_s36            |    814 |    950 |    26.5% |      675
hyp_per_s11            | hyp_per_s34            |   1055 |   1003 |    26.5% |      834
hyp_per_s1             | hyp_per_s20            |    947 |    910 |    26.5% |      702
hyp_jbe_s19            | hyp_per_s34            |    809 |   1003 |    26.5% |      665
hyp_jbe_s32            | hyp_per_s13            |    984 |    922 |    26.5% |      631
hyp_jbe_s33            | hyp_per_s27            |    935 |   1097 |    26.5% |      616
hyp_per_s17            | hyp_per_s26            |    926 |    944 |    26.4% |      828
hyp_jbe_s23            | hyp_per_s31            |    949 |   1127 |    26.4% |      745
hyp_jbe_s29            | hyp_per_s11            |    999 |   1055 |    26.4% |      817
hyp_jbe_s6             | hyp_per_s4             |    814 |    721 |    26.4% |      603
hyp_per_s17            | hyp_per_s6             |    926 |    814 |    26.4% |      713
hyp_jbe_s19            | hyp_per_s3             |    809 |    944 |    26.3% |      649
hyp_jbe_s10            | hyp_per_s9             |    852 |    993 |    26.3% |      752
hyp_jbe_s4             | hyp_jbe_s6             |    721 |    814 |    26.3% |      585
hyp_per_s12            | hyp_per_s22            |    948 |    850 |    26.3% |      741
hyp_per_s13            | hyp_per_s35            |    922 |    994 |    26.3% |      745
hyp_jbe_s26            | hyp_jbe_s29            |    944 |    999 |    26.3% |      749
hyp_per_s28            | hyp_per_s7             |    892 |    896 |    26.2% |      775
hyp_per_s22            | hyp_per_s26            |    850 |    944 |    26.2% |      768
hyp_per_s12            | hyp_per_s30            |    948 |    938 |    26.2% |      841
hyp_per_s18            | hyp_per_s25            |    859 |   1072 |    26.2% |      673
hyp_jbe_s23            | hyp_per_s11            |    949 |   1055 |    26.1% |      742
hyp_per_s33            | hyp_per_s7             |    935 |    896 |    26.1% |      788
hyp_per_s10            | hyp_per_s22            |    852 |    850 |    26.1% |      750
hyp_jbe_s2             | hyp_per_s30            |    818 |    938 |    26.1% |      712
hyp_jbe_s19            | hyp_per_s31            |    809 |   1127 |    26.1% |      647
hyp_per_s16            | hyp_per_s7             |    881 |    896 |    26.1% |      762
hyp_per_s10            | hyp_per_s4             |    852 |    721 |    26.1% |      628
hyp_per_s11            | hyp_per_s32            |   1055 |    984 |    26.1% |      802
hyp_jbe_s4             | hyp_per_s35            |    721 |    994 |    26.1% |      591
hyp_jbe_s19            | hyp_jbe_s37            |    809 |    774 |    26.0% |      549
hyp_per_s26            | hyp_per_s8             |    944 |    882 |    26.0% |      803
hyp_jbe_s33            | hyp_per_s20            |    935 |    910 |    26.0% |      757
hyp_jbe_s19            | hyp_per_s15            |    809 |    879 |    26.0% |      661
hyp_per_s13            | hyp_per_s7             |    922 |    896 |    26.0% |      754
hyp_per_s28            | hyp_per_s38            |    892 |   1061 |    26.0% |      685
hyp_jbe_s19            | hyp_per_s7             |    809 |    896 |    26.0% |      662
hyp_per_s22            | hyp_per_s23            |    850 |    949 |    26.0% |      766
hyp_per_s18            | hyp_per_s34            |    859 |   1003 |    26.0% |      732
hyp_per_s19            | hyp_per_s31            |    999 |   1127 |    26.0% |      863
hyp_per_s29            | hyp_per_s31            |    999 |   1127 |    26.0% |      863
hyp_jbe_s2             | hyp_per_s24            |    818 |   1340 |    26.0% |      628
hyp_jbe_s26            | hyp_per_s24            |    944 |   1340 |    25.9% |      713
hyp_per_s22            | hyp_per_s28            |    850 |    892 |    25.9% |      740
hyp_jbe_s25            | hyp_per_s18            |   1072 |    859 |    25.9% |      649
hyp_per_s16            | hyp_per_s17            |    881 |    926 |    25.9% |      750
hyp_per_s35            | hyp_per_s4             |    994 |    721 |    25.9% |      607
hyp_jbe_s4             | hyp_per_s2             |    721 |    818 |    25.9% |      611
hyp_per_s24            | hyp_per_s9             |   1340 |    993 |    25.9% |      789
hyp_per_s37            | hyp_per_s9             |    774 |    993 |    25.8% |      666
hyp_per_s34            | hyp_per_s7             |   1003 |    896 |    25.8% |      790
hyp_per_s21            | hyp_per_s22            |    905 |    850 |    25.8% |      771
hyp_jbe_s1             | hyp_per_s21            |    947 |    905 |    25.8% |      496
hyp_per_s17            | hyp_per_s33            |    926 |    935 |    25.8% |      806
hyp_per_s11            | hyp_per_s15            |   1055 |    879 |    25.8% |      748
hyp_per_s13            | hyp_per_s31            |    922 |   1127 |    25.8% |      756
hyp_per_s25            | hyp_per_s6             |   1072 |    814 |    25.8% |      667
hyp_jbe_s2             | hyp_per_s27            |    818 |   1097 |    25.8% |      625
hyp_jbe_s26            | hyp_per_s19            |    944 |    999 |    25.8% |      765
hyp_jbe_s26            | hyp_per_s29            |    944 |    999 |    25.8% |      765
hyp_jbe_s1             | hyp_per_s12            |    947 |    948 |    25.7% |      501
hyp_jbe_s23            | hyp_per_s1             |    949 |    947 |    25.7% |      669
hyp_per_s14            | hyp_per_s9             |    811 |    993 |    25.7% |      681
hyp_per_s12            | hyp_per_s24            |    948 |   1340 |    25.7% |      755
hyp_per_s1             | hyp_per_s15            |    947 |    879 |    25.7% |      678
hyp_jbe_s1             | hyp_jbe_s2             |    947 |    818 |    25.6% |      429
hyp_jbe_s2             | hyp_per_s22            |    818 |    850 |    25.6% |      706
hyp_jbe_s18            | hyp_per_s6             |    859 |    814 |    25.6% |      667
hyp_jbe_s19            | hyp_per_s37            |    809 |    774 |    25.6% |      628
hyp_jbe_s26            | hyp_per_s22            |    944 |    850 |    25.6% |      695
hyp_per_s12            | hyp_per_s20            |    948 |    910 |    25.6% |      789
hyp_jbe_s16            | hyp_per_s12            |    881 |    948 |    25.6% |      719
hyp_jbe_s1             | hyp_per_s26            |    947 |    944 |    25.6% |      512
hyp_jbe_s16            | hyp_per_s20            |    881 |    910 |    25.6% |      731
hyp_jbe_s16            | hyp_per_s17            |    881 |    926 |    25.6% |      720
hyp_jbe_s14            | hyp_per_s33            |    811 |    935 |    25.5% |      670
hyp_per_s18            | hyp_per_s7             |    859 |    896 |    25.5% |      733
hyp_jbe_s11            | hyp_per_s28            |   1055 |    892 |    25.5% |      687
hyp_jbe_s10            | hyp_jbe_s6             |    852 |    814 |    25.5% |      699
hyp_per_s1             | hyp_per_s10            |    947 |    852 |    25.5% |      664
hyp_per_s1             | hyp_per_s31            |    947 |   1127 |    25.4% |      735
hyp_jbe_s33            | hyp_per_s22            |    935 |    850 |    25.4% |      705
hyp_jbe_s14            | hyp_jbe_s33            |    811 |    935 |    25.4% |      642
hyp_per_s17            | hyp_per_s24            |    926 |   1340 |    25.3% |      742
hyp_jbe_s4             | hyp_per_s3             |    721 |    944 |    25.3% |      600
hyp_per_s10            | hyp_per_s16            |    852 |    881 |    25.3% |      750
hyp_per_s11            | hyp_per_s19            |   1055 |    999 |    25.3% |      841
hyp_per_s11            | hyp_per_s29            |   1055 |    999 |    25.3% |      841
hyp_jbe_s29            | hyp_per_s38            |    999 |   1061 |    25.3% |      759
hyp_jbe_s1             | hyp_jbe_s37            |    947 |    774 |    25.3% |      368
hyp_jbe_s14            | hyp_jbe_s16            |    811 |    881 |    25.3% |      649
hyp_jbe_s25            | hyp_jbe_s29            |   1072 |    999 |    25.3% |      752
hyp_jbe_s2             | hyp_per_s5             |    818 |   1080 |    25.3% |      673
hyp_per_s11            | hyp_per_s5             |   1055 |   1080 |    25.3% |      879
hyp_jbe_s29            | hyp_per_s32            |    999 |    984 |    25.3% |      796
hyp_jbe_s1             | hyp_per_s37            |    947 |    774 |    25.2% |      424
hyp_per_s14            | hyp_per_s2             |    811 |    818 |    25.2% |      690
hyp_jbe_s25            | hyp_per_s27            |   1072 |   1097 |    25.2% |      599
hyp_jbe_s18            | hyp_per_s38            |    859 |   1061 |    25.2% |      627
hyp_jbe_s18            | hyp_per_s15            |    859 |    879 |    25.1% |      712
hyp_jbe_s1             | hyp_per_s2             |    947 |    818 |    25.1% |      454
hyp_per_s20            | hyp_per_s5             |    910 |   1080 |    25.1% |      781
hyp_per_s23            | hyp_per_s3             |    949 |    944 |    25.1% |      809
hyp_jbe_s19            | hyp_per_s17            |    809 |    926 |    25.1% |      650
hyp_per_s10            | hyp_per_s32            |    852 |    984 |    25.1% |      714
hyp_per_s19            | hyp_per_s26            |    999 |    944 |    25.1% |      838
hyp_per_s26            | hyp_per_s29            |    944 |    999 |    25.1% |      838
hyp_jbe_s35            | hyp_per_s16            |    994 |    881 |    25.0% |      643
hyp_jbe_s10            | hyp_jbe_s16            |    852 |    881 |    25.0% |      708
hyp_jbe_s25            | hyp_per_s22            |   1072 |    850 |    25.0% |      664
hyp_jbe_s32            | hyp_per_s24            |    984 |   1340 |    25.0% |      640
hyp_jbe_s4             | hyp_per_s10            |    721 |    852 |    25.0% |      608
hyp_per_s19            | hyp_per_s7             |    999 |    896 |    25.0% |      784
hyp_per_s21            | hyp_per_s34            |    905 |   1003 |    25.0% |      808
hyp_per_s29            | hyp_per_s7             |    999 |    896 |    25.0% |      784
hyp_per_s20            | hyp_per_s33            |    910 |    935 |    25.0% |      793
hyp_per_s11            | hyp_per_s28            |   1055 |    892 |    25.0% |      749
hyp_jbe_s14            | hyp_per_s16            |    811 |    881 |    25.0% |      689
hyp_jbe_s18            | hyp_jbe_s25            |    859 |   1072 |    25.0% |      621
hyp_jbe_s2             | hyp_jbe_s4             |    818 |    721 |    25.0% |      585
hyp_jbe_s35            | hyp_per_s30            |    994 |    938 |    24.9% |      706
hyp_jbe_s6             | hyp_per_s17            |    814 |    926 |    24.9% |      690
hyp_jbe_s32            | hyp_per_s6             |    984 |    814 |    24.9% |      586
hyp_per_s27            | hyp_per_s34            |   1097 |   1003 |    24.9% |      651
hyp_per_s27            | hyp_per_s3             |   1097 |    944 |    24.9% |      643
hyp_per_s22            | hyp_per_s30            |    850 |    938 |    24.9% |      772
hyp_jbe_s10            | hyp_per_s22            |    852 |    850 |    24.9% |      752
hyp_per_s16            | hyp_per_s3             |    881 |    944 |    24.9% |      752
hyp_per_s18            | hyp_per_s2             |    859 |    818 |    24.9% |      704
hyp_per_s2             | hyp_per_s27            |    818 |   1097 |    24.8% |      656
hyp_per_s31            | hyp_per_s36            |   1127 |    950 |    24.8% |      801
hyp_per_s2             | hyp_per_s30            |    818 |    938 |    24.8% |      749
hyp_jbe_s29            | hyp_per_s31            |    999 |   1127 |    24.8% |      842
hyp_per_s14            | hyp_per_s3             |    811 |    944 |    24.8% |      681
hyp_jbe_s29            | hyp_per_s20            |    999 |    910 |    24.8% |      774
hyp_jbe_s16            | hyp_per_s26            |    881 |    944 |    24.8% |      750
hyp_jbe_s2             | hyp_per_s9             |    818 |    993 |    24.8% |      690
hyp_per_s15            | hyp_per_s18            |    879 |    859 |    24.8% |      739
hyp_jbe_s29            | hyp_per_s26            |    999 |    944 |    24.8% |      824
hyp_jbe_s14            | hyp_per_s2             |    811 |    818 |    24.7% |      687
hyp_per_s16            | hyp_per_s37            |    881 |    774 |    24.7% |      671
hyp_per_s2             | hyp_per_s24            |    818 |   1340 |    24.7% |      663
hyp_jbe_s1             | hyp_per_s19            |    947 |    999 |    24.7% |      498
hyp_jbe_s1             | hyp_per_s29            |    947 |    999 |    24.7% |      498
hyp_jbe_s6             | hyp_per_s32            |    814 |    984 |    24.7% |      660
hyp_per_s36            | hyp_per_s9             |    950 |    993 |    24.7% |      806
hyp_jbe_s35            | hyp_per_s9             |    994 |    993 |    24.7% |      721
hyp_per_s21            | hyp_per_s4             |    905 |    721 |    24.7% |      640
hyp_jbe_s18            | hyp_per_s2             |    859 |    818 |    24.7% |      673
hyp_jbe_s35            | hyp_per_s31            |    994 |   1127 |    24.7% |      730
hyp_per_s10            | hyp_per_s6             |    852 |    814 |    24.7% |      722
hyp_per_s12            | hyp_per_s27            |    948 |   1097 |    24.6% |      638
hyp_jbe_s16            | hyp_jbe_s26            |    881 |    944 |    24.6% |      687
hyp_per_s17            | hyp_per_s34            |    926 |   1003 |    24.6% |      805
hyp_jbe_s16            | hyp_per_s34            |    881 |   1003 |    24.6% |      724
hyp_jbe_s33            | hyp_per_s4             |    935 |    721 |    24.6% |      586
hyp_jbe_s33            | hyp_jbe_s4             |    935 |    721 |    24.6% |      570
hyp_jbe_s18            | hyp_per_s27            |    859 |   1097 |    24.5% |      611
hyp_per_s33            | hyp_per_s4             |    935 |    721 |    24.5% |      611
hyp_jbe_s16            | hyp_per_s3             |    881 |    944 |    24.5% |      721
hyp_per_s13            | hyp_per_s34            |    922 |   1003 |    24.5% |      762
hyp_per_s1             | hyp_per_s2             |    947 |    818 |    24.5% |      636
hyp_per_s22            | hyp_per_s31            |    850 |   1127 |    24.5% |      738
hyp_jbe_s10            | hyp_per_s13            |    852 |    922 |    24.5% |      722
hyp_jbe_s4             | hyp_per_s33            |    721 |    935 |    24.5% |      592
hyp_per_s17            | hyp_per_s7             |    926 |    896 |    24.5% |      784
hyp_per_s5             | hyp_per_s8             |   1080 |    882 |    24.5% |      764
hyp_per_s3             | hyp_per_s4             |    944 |    721 |    24.5% |      617
hyp_per_s22            | hyp_per_s38            |    850 |   1061 |    24.5% |      662
hyp_jbe_s11            | hyp_jbe_s6             |   1055 |    814 |    24.4% |      630
hyp_jbe_s1             | hyp_per_s4             |    947 |    721 |    24.4% |      401
hyp_jbe_s10            | hyp_per_s1             |    852 |    947 |    24.4% |      663
hyp_jbe_s32            | hyp_jbe_s6             |    984 |    814 |    24.4% |      569
hyp_per_s30            | hyp_per_s6             |    938 |    814 |    24.4% |      741
hyp_jbe_s18            | hyp_per_s12            |    859 |    948 |    24.4% |      697
hyp_per_s31            | hyp_per_s9             |   1127 |    993 |    24.4% |      857
hyp_per_s13            | hyp_per_s21            |    922 |    905 |    24.3% |      768
hyp_jbe_s25            | hyp_per_s5             |   1072 |   1080 |    24.3% |      830
hyp_jbe_s19            | hyp_jbe_s29            |    809 |    999 |    24.3% |      629
hyp_jbe_s37            | hyp_per_s13            |    774 |    922 |    24.3% |      551
hyp_jbe_s11            | hyp_jbe_s26            |   1055 |    944 |    24.3% |      688
hyp_per_s14            | hyp_per_s4             |    811 |    721 |    24.2% |      598
hyp_per_s23            | hyp_per_s5             |    949 |   1080 |    24.2% |      796
hyp_per_s27            | hyp_per_s37            |   1097 |    774 |    24.2% |      644
hyp_jbe_s18            | hyp_jbe_s6             |    859 |    814 |    24.2% |      640
hyp_per_s2             | hyp_per_s26            |    818 |    944 |    24.2% |      744
hyp_per_s28            | hyp_per_s35            |    892 |    994 |    24.2% |      761
hyp_jbe_s25            | hyp_per_s13            |   1072 |    922 |    24.2% |      687
hyp_jbe_s14            | hyp_jbe_s2             |    811 |    818 |    24.2% |      654
hyp_jbe_s1             | hyp_jbe_s4             |    947 |    721 |    24.2% |      385
hyp_jbe_s35            | hyp_per_s20            |    994 |    910 |    24.1% |      675
hyp_jbe_s2             | hyp_per_s1             |    818 |    947 |    24.1% |      605
hyp_jbe_s16            | hyp_per_s23            |    881 |    949 |    24.1% |      742
hyp_jbe_s29            | hyp_per_s7             |    999 |    896 |    24.1% |      767
hyp_jbe_s6             | hyp_per_s13            |    814 |    922 |    24.1% |      651
hyp_jbe_s16            | hyp_jbe_s18            |    881 |    859 |    24.1% |      672
hyp_jbe_s25            | hyp_per_s28            |   1072 |    892 |    24.1% |      685
hyp_jbe_s18            | hyp_per_s25            |    859 |   1072 |    24.1% |      644
hyp_per_s1             | hyp_per_s3             |    947 |    944 |    24.0% |      732
hyp_jbe_s18            | hyp_per_s33            |    859 |    935 |    24.0% |      703
hyp_jbe_s29            | hyp_per_s12            |    999 |    948 |    24.0% |      803
hyp_jbe_s4             | hyp_per_s14            |    721 |    811 |    24.0% |      587
hyp_per_s35            | hyp_per_s36            |    994 |    950 |    24.0% |      791
hyp_per_s15            | hyp_per_s21            |    879 |    905 |    24.0% |      792
hyp_per_s15            | hyp_per_s26            |    879 |    944 |    24.0% |      792
hyp_per_s10            | hyp_per_s38            |    852 |   1061 |    24.0% |      667
hyp_jbe_s1             | hyp_jbe_s29            |    947 |    999 |    24.0% |      492
