56 fichiers charges, 1540 paires a comparer


--- Paires MEME SUJET (ordre croissant d'accord) ---

Fichier A              | Fichier B              |   ep A |   ep B |   Accord |  N valid
hyp_jbe_s11            | hyp_per_s10            |   1055 |    852 |    38.1% |      678
hyp_jbe_s37            | hyp_per_s23            |    774 |    949 |    37.9% |      601
hyp_jbe_s23            | hyp_per_s37            |    949 |    774 |    37.9% |      633
hyp_jbe_s37            | hyp_per_s2             |    774 |    818 |    37.9% |      586
hyp_per_s25            | hyp_per_s9             |   1072 |    993 |    37.8% |      804
hyp_per_s3             | hyp_per_s9             |    944 |    993 |    37.8% |      820
hyp_per_s30            | hyp_per_s8             |    938 |    882 |    37.8% |      807
hyp_jbe_s32            | hyp_per_s18            |    984 |    859 |    37.8% |      598
hyp_per_s4             | hyp_per_s5             |    721 |   1080 |    37.8% |      598
hyp_per_s19            | hyp_per_s6             |    999 |    814 |    37.8% |      707
hyp_per_s29            | hyp_per_s6             |    999 |    814 |    37.8% |      707
hyp_jbe_s4             | hyp_per_s36            |    721 |    950 |    37.7% |      583
hyp_jbe_s10            | hyp_jbe_s14            |    852 |    811 |    37.7% |      692
hyp_jbe_s37            | hyp_per_s12            |    774 |    948 |    37.7% |      573
hyp_jbe_s29            | hyp_jbe_s4             |    999 |    721 |    37.7% |      581
hyp_jbe_s26            | hyp_per_s23            |    944 |    949 |    37.7% |      759
hyp_jbe_s35            | hyp_per_s5             |    994 |   1080 |    37.7% |      717
hyp_per_s35            | hyp_per_s5             |    994 |   1080 |    37.7% |      810
hyp_jbe_s23            | hyp_jbe_s29            |    949 |    999 |    37.7% |      733
hyp_per_s2             | hyp_per_s37            |    818 |    774 |    37.6% |      680
hyp_jbe_s29            | hyp_per_s23            |    999 |    949 |    37.6% |      787
hyp_jbe_s18            | hyp_jbe_s32            |    859 |    984 |    37.6% |      575
hyp_jbe_s37            | hyp_per_s7             |    774 |    896 |    37.5% |      578
hyp_jbe_s18            | hyp_jbe_s23            |    859 |    949 |    37.5% |      658
hyp_jbe_s1             | hyp_per_s34            |    947 |   1003 |    37.5% |      501
hyp_per_s19            | hyp_per_s8             |    999 |    882 |    37.5% |      774
hyp_per_s29            | hyp_per_s8             |    999 |    882 |    37.5% |      774
hyp_jbe_s11            | hyp_per_s21            |   1055 |    905 |    37.4% |      729
hyp_per_s17            | hyp_per_s8             |    926 |    882 |    37.4% |      772
hyp_per_s14            | hyp_per_s5             |    811 |   1080 |    37.4% |      668
hyp_per_s3             | hyp_per_s32            |    944 |    984 |    37.4% |      786
hyp_jbe_s11            | hyp_per_s9             |   1055 |    993 |    37.4% |      765
hyp_jbe_s25            | hyp_per_s38            |   1072 |   1061 |    37.4% |      755
hyp_jbe_s35            | hyp_per_s37            |    994 |    774 |    37.3% |      563
hyp_per_s14            | hyp_per_s19            |    811 |    999 |    37.3% |      676
hyp_per_s14            | hyp_per_s29            |    811 |    999 |    37.3% |      676
hyp_jbe_s2             | hyp_jbe_s37            |    818 |    774 |    37.3% |      561
hyp_per_s19            | hyp_per_s23            |    999 |    949 |    37.3% |      808
hyp_per_s23            | hyp_per_s29            |    949 |    999 |    37.3% |      808
hyp_jbe_s25            | hyp_per_s32            |   1072 |    984 |    37.2% |      734
hyp_jbe_s37            | hyp_per_s35            |    774 |    994 |    37.2% |      573
hyp_jbe_s26            | hyp_jbe_s4             |    944 |    721 |    37.1% |      568
hyp_per_s23            | hyp_per_s26            |    949 |    944 |    37.1% |      832
hyp_jbe_s29            | hyp_per_s36            |    999 |    950 |    37.1% |      789
hyp_per_s37            | hyp_per_s7             |    774 |    896 |    37.0% |      670
hyp_jbe_s4             | hyp_per_s8             |    721 |    882 |    37.0% |      606
hyp_per_s2             | hyp_per_s7             |    818 |    896 |    36.9% |      734
hyp_jbe_s29            | hyp_per_s37            |    999 |    774 |    36.9% |      642
hyp_jbe_s2             | hyp_per_s7             |    818 |    896 |    36.9% |      694
hyp_per_s15            | hyp_per_s16            |    879 |    881 |    36.9% |      762
hyp_per_s18            | hyp_per_s23            |    859 |    949 |    36.9% |      746
hyp_per_s12            | hyp_per_s2             |    948 |    818 |    36.9% |      719
hyp_per_s11            | hyp_per_s9             |   1055 |    993 |    36.8% |      828
hyp_jbe_s16            | hyp_jbe_s29            |    881 |    999 |    36.8% |      706
hyp_per_s20            | hyp_per_s32            |    910 |    984 |    36.8% |      761
hyp_jbe_s26            | hyp_per_s6             |    944 |    814 |    36.7% |      676
hyp_jbe_s37            | hyp_per_s34            |    774 |   1003 |    36.6% |      584
hyp_jbe_s23            | hyp_per_s4             |    949 |    721 |    36.6% |      590
hyp_per_s13            | hyp_per_s26            |    922 |    944 |    36.6% |      784
hyp_jbe_s29            | hyp_jbe_s6             |    999 |    814 |    36.6% |      670
hyp_jbe_s26            | hyp_jbe_s6             |    944 |    814 |    36.5% |      657
hyp_jbe_s23            | hyp_per_s26            |    949 |    944 |    36.5% |      772
hyp_per_s26            | hyp_per_s4             |    944 |    721 |    36.5% |      630
hyp_per_s23            | hyp_per_s32            |    949 |    984 |    36.5% |      778
hyp_per_s30            | hyp_per_s36            |    938 |    950 |    36.5% |      828
hyp_per_s34            | hyp_per_s35            |   1003 |    994 |    36.5% |      828
hyp_per_s14            | hyp_per_s38            |    811 |   1061 |    36.5% |      598
hyp_jbe_s14            | hyp_per_s5             |    811 |   1080 |    36.4% |      670
hyp_jbe_s35            | hyp_per_s22            |    994 |    850 |    36.4% |      640
hyp_per_s11            | hyp_per_s20            |   1055 |    910 |    36.4% |      775
hyp_per_s28            | hyp_per_s36            |    892 |    950 |    36.4% |      762
hyp_jbe_s2             | hyp_per_s37            |    818 |    774 |    36.3% |      650
hyp_per_s34            | hyp_per_s38            |   1003 |   1061 |    36.3% |      786
hyp_jbe_s23            | hyp_jbe_s4             |    949 |    721 |    36.2% |      577
hyp_jbe_s6             | hyp_per_s38            |    814 |   1061 |    36.2% |      608
hyp_per_s16            | hyp_per_s19            |    881 |    999 |    36.2% |      755
hyp_per_s16            | hyp_per_s29            |    881 |    999 |    36.2% |      755
hyp_per_s21            | hyp_per_s6             |    905 |    814 |    36.2% |      744
hyp_jbe_s4             | hyp_per_s5             |    721 |   1080 |    36.1% |      581
hyp_jbe_s2             | hyp_jbe_s32            |    818 |    984 |    36.1% |      568
hyp_jbe_s35            | hyp_per_s19            |    994 |    999 |    36.1% |      721
hyp_jbe_s35            | hyp_per_s29            |    994 |    999 |    36.1% |      721
hyp_jbe_s29            | hyp_jbe_s35            |    999 |    994 |    36.0% |      705
hyp_jbe_s29            | hyp_per_s16            |    999 |    881 |    36.0% |      733
hyp_per_s1             | hyp_per_s16            |    947 |    881 |    36.0% |      664
hyp_jbe_s11            | hyp_jbe_s14            |   1055 |    811 |    36.0% |      634
hyp_per_s20            | hyp_per_s23            |    910 |    949 |    36.0% |      812
