state,electrode,rho_within,rho_within_sd,rho_pooled,rho_submean,n_subjects
SWS,F3,-0.7441346687558227,0.09538512373708011,-0.6975139100803964,-0.5451737451737452,36
SWS,F4,-0.7482434565640721,0.07657696850459396,-0.7182367749704074,-0.5781209781209781,36
SWS,P3,-0.7985604999717317,0.1020458492590228,-0.7847513685713062,-0.5791505791505791,36
SWS,P4,-0.8057343713794962,0.09129451839899078,-0.7926578157026304,-0.607979407979408,36
SWS,FC1,-0.7473264014696913,0.09943062813582715,-0.7213869602615931,-0.5693693693693693,36
SWS,FC2,-0.7483474912847529,0.1220414327694041,-0.7318140134348804,-0.6012870012870013,36
SWS,CP1,-0.7983386485939091,0.0931069577317948,-0.7813816273201439,-0.6087516087516087,36
SWS,CP2,-0.8036802096563824,0.08159105772363343,-0.7896830664649079,-0.6471042471042471,36
REM,Fz,-0.4774812666056735,0.12178892428636023,-0.6534376163084352,-0.8586872586872587,36
REM,Cz,-0.5260090119523274,0.11080141992320973,-0.6198388899210235,-0.8018018018018018,36
REM,Pz,-0.4784771253643064,0.13367393737159172,-0.6275968359669206,-0.8162162162162162,36
REM,C3,-0.5177618467079049,0.12016520582079611,-0.6442381871749877,-0.8352638352638353,36
REM,C4,-0.5071593393770439,0.14437389673381804,-0.6218970326018609,-0.8087516087516088,36
REM,T3,-0.5359940003355106,0.10647347153460968,-0.5910476274886212,-0.7253539253539254,36
REM,T4,-0.5496702542868646,0.10910724572227826,-0.5799050731160502,-0.7029601029601029,36
REM,Fp1,-0.7205956549368419,0.0747568272933575,-0.6880032420510607,-0.7534105534105534,36
REM,Fp2,-0.7268227083509837,0.08777019556868436,-0.6976274394333838,-0.8018018018018018,36
REM,O1,-0.5493947066695429,0.12983115899348993,-0.6360444206160614,-0.7207207207207207,36
REM,O2,-0.572203223744451,0.1243620101306614,-0.6428754090938839,-0.7243243243243244,36
REM,F3,-0.553667515578557,0.10016879791844052,-0.6069416576007771,-0.7969111969111969,36
REM,F4,-0.5550668635758033,0.10696776900665152,-0.5962450488439711,-0.8445302445302445,36
REM,P3,-0.5021999962877303,0.11759052623278851,-0.6139817031945665,-0.8120978120978121,36
REM,P4,-0.5149477573553396,0.1270822286032045,-0.606486551069896,-0.7559845559845559,36
REM,FC1,-0.5101536626666204,0.12122545776852153,-0.6146425903897226,-0.857915057915058,36
REM,FC2,-0.5006145405262961,0.14045941009867885,-0.6106681762215032,-0.8231660231660232,36
REM,CP1,-0.4885060024323626,0.12380862950261941,-0.6410876520281197,-0.8751608751608752,36
REM,CP2,-0.4914265979865565,0.12718124667915426,-0.6287080002708615,-0.8458172458172458,36
NREM,Fz,-0.8730521385801812,0.03879125051590922,-0.8669945819603219,-0.877992277992278,36
NREM,Cz,-0.8536727150043536,0.042142838790973254,-0.8407055791273966,-0.8532818532818532,36
NREM,Pz,-0.880638791213184,0.03417212407114569,-0.8737333626894415,-0.8231660231660232,36
NREM,C3,-0.8757538412041757,0.034469326688939844,-0.8661130558194191,-0.842985842985843,36
NREM,C4,-0.8773318512881938,0.03428177756389833,-0.869581499514101,-0.8298584298584298,36
NREM,T3,-0.9039507183124804,0.033755913256574205,-0.8917573360762641,-0.8787644787644787,36
NREM,T4,-0.9050238981827476,0.03144840524898215,-0.9014976739403893,-0.8731016731016731,36
NREM,Fp1,-0.8609789442914605,0.03899236809980057,-0.8595651277923887,-0.8841698841698842,36
NREM,Fp2,-0.8609090731710067,0.03837246342547862,-0.8577485116439251,-0.8890604890604891,36
