state,electrode,rho_within,rho_within_sd,rho_pooled,rho_submean,n_subjects
SWS,P3,-0.8117437403264683,0.07642878329994583,-0.8166396739968395,-0.8285714285714286,36
SWS,P4,-0.8157668298856794,0.07360861723052214,-0.7794958343676883,-0.6149292149292149,36
SWS,FC1,-0.7635595937786854,0.1149435114563066,-0.6969543546734415,-0.5070785070785071,36
SWS,FC2,-0.7677734401953612,0.09419343196551518,-0.7013238959522033,-0.5060489060489061,36
SWS,CP1,-0.8120004646309329,0.07592187278482757,-0.804387745696944,-0.7567567567567568,36
SWS,CP2,-0.8139822479049674,0.0794576144666652,-0.8023332857123616,-0.752895752895753,36
REM,Fz,-0.4514993243017864,0.10583256421492555,-0.538012376733944,-0.679021879021879,36
REM,Cz,-0.44762184625256796,0.12147540865574614,-0.5284817384703177,-0.7536679536679537,36
REM,Pz,-0.44281245610597497,0.11884187240050009,-0.5119645829330038,-0.6751608751608752,36
REM,C3,-0.42823182077369615,0.11580087702730565,-0.4974007987366772,-0.6841698841698842,36
REM,C4,-0.42812013031100854,0.1227619129857513,-0.47462773911417794,-0.6324324324324324,36
REM,T3,-0.43447562463123,0.1545710312040572,-0.5233291031130146,-0.7824967824967825,36
REM,T4,-0.40384998119980925,0.14992448102333697,-0.4320398857921979,-0.5693693693693693,36
REM,Fp1,-0.5652697626785544,0.10433498669940625,-0.5952035702758322,-0.6424710424710425,36
REM,Fp2,-0.5767505819304186,0.0924432742302776,-0.5924966791511245,-0.6303732303732303,36
REM,O1,-0.5025995634227717,0.1301219730358085,-0.5613003398276116,-0.6388674388674389,36
REM,O2,-0.5084142584691007,0.13592322201931067,-0.5149352994940491,-0.6432432432432432,36
REM,F3,-0.4742205583958912,0.14081482162907502,-0.540557394087233,-0.7441441441441441,36
REM,F4,-0.458328323996267,0.14811483047423887,-0.4965465602909732,-0.6453024453024453,36
REM,P3,-0.4321595188392349,0.12018265155399947,-0.5059321234680997,-0.7155727155727156,36
REM,P4,-0.431220365368973,0.11298226572285551,-0.4735196932073213,-0.6615186615186616,36
REM,FC1,-0.44901798460517467,0.13429371671124757,-0.503377789733497,-0.6355212355212355,36
REM,FC2,-0.4405792982135417,0.12035866925846617,-0.48747878843586834,-0.5938223938223938,36
REM,CP1,-0.45040230165077066,0.11341197064095912,-0.5059147007374494,-0.6589446589446589,36
REM,CP2,-0.43959619587753274,0.10926629008599341,-0.5058688149261426,-0.6388674388674389,36
NREM,Fz,-0.8529156047275551,0.052716826016670916,-0.8339660690767318,-0.7626769626769627,36
NREM,Cz,-0.8231345866614128,0.06248033286008057,-0.81495755299743,-0.8205920205920206,36
NREM,Pz,-0.8737391604425221,0.05219772092451426,-0.8695424340056817,-0.8164736164736165,36
NREM,C3,-0.842675224554488,0.06452356849968424,-0.8241771999476244,-0.6911196911196911,36
NREM,C4,-0.8497908569367496,0.0586965325248739,-0.8296576986628142,-0.6710424710424711,36
NREM,T3,-0.8492613337144362,0.06347514227925861,-0.8330443342724504,-0.8010296010296011,36
NREM,T4,-0.834422192032991,0.05745690128891987,-0.8178606456012341,-0.7323037323037324,36
NREM,Fp1,-0.6638702577448727,0.11274835930057588,-0.660618049194301,-0.637065637065637,36
NREM,Fp2,-0.6593011454234324,0.1153221534103979,-0.6549023583891929,-0.7073359073359073,36
